DATAFLOW,FREQ,FAM_TARGET,ITTER107,TIPO_DATO_MIGLIAIA,HH_FORE,TIPOLOGIA_FAM,HH_RETIRED,HH_UNE_PLF,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHH,HH_NORET,HH_0UNEMP,2022,3499.791,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHH,HH_NORET,HH_0UNEMP,2023,3538.937,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHH,HH_NORET,TOTAL,2021,3381.089,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHH,HH_NORET,TOTAL,2022,3499.791,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHH,HH_NORET,TOTAL,2023,3538.937,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHH,TOTAL,HH_0UNEMP,2021,3381.089,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHH,TOTAL,HH_0UNEMP,2022,3499.791,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHH,TOTAL,HH_0UNEMP,2023,3538.937,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHH,TOTAL,TOTAL,2021,3381.089,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHH,TOTAL,TOTAL,2022,3499.791,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHH,TOTAL,TOTAL,2023,3538.937,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHF,HH_NORET,HH_0UNEMP,2021,1325.015,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHF,HH_NORET,HH_0UNEMP,2022,1329.85,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHF,HH_NORET,HH_0UNEMP,2023,1328.232,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHF,HH_NORET,TOTAL,2021,1325.015,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHF,HH_NORET,TOTAL,2022,1329.85,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHF,HH_NORET,TOTAL,2023,1328.232,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHF,TOTAL,HH_0UNEMP,2021,1325.015,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHF,TOTAL,HH_0UNEMP,2022,1329.85,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHF,TOTAL,HH_0UNEMP,2023,1328.232,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHF,TOTAL,TOTAL,2021,1325.015,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHF,TOTAL,TOTAL,2022,1329.85,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHF,TOTAL,TOTAL,2023,1328.232,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHM,HH_NORET,HH_0UNEMP,2021,2056.075,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHM,HH_NORET,HH_0UNEMP,2022,2169.941,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHM,HH_NORET,HH_0UNEMP,2023,2210.705,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHM,HH_NORET,TOTAL,2021,2056.075,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHM,HH_NORET,TOTAL,2022,2169.941,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHM,HH_NORET,TOTAL,2023,2210.705,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHM,TOTAL,HH_0UNEMP,2021,2056.075,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHM,TOTAL,HH_0UNEMP,2022,2169.941,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHM,TOTAL,HH_0UNEMP,2023,2210.705,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHM,TOTAL,TOTAL,2021,2056.075,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHM,TOTAL,TOTAL,2022,2169.941,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,1PHHM,TOTAL,TOTAL,2023,2210.705,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,HH_NORET,HH_0UNEMP,2021,1869.273,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,HH_NORET,HH_0UNEMP,2022,1805.921,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,HH_NORET,HH_0UNEMP,2023,1689.319,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,HH_NORET,HH_ALT1UP,2021,465.909,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,HH_NORET,HH_ALT1UP,2022,401.601,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,HH_NORET,HH_ALT1UP,2023,382.539,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,HH_NORET,HH_ATL1UP_PLF,2021,1095.633,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,HH_NORET,HH_ATL1UP_PLF,2022,919.532,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,HH_NORET,HH_ATL1UP_PLF,2023,832.812,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,HH_NORET,TOTAL,2021,2335.182,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,HH_NORET,TOTAL,2022,2207.522,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,HH_NORET,TOTAL,2023,2071.858,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,TOTAL,HH_0UNEMP,2021,2423.602,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,TOTAL,HH_0UNEMP,2022,2356.867,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,TOTAL,HH_0UNEMP,2023,2238.839,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,TOTAL,HH_ALT1UP,2021,512.203,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,TOTAL,HH_ALT1UP,2022,439.207,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,TOTAL,HH_ALT1UP,2023,418.076,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,TOTAL,HH_ATL1UP_PLF,2021,1193.442,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,TOTAL,HH_ATL1UP_PLF,2022,1000.553,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,TOTAL,HH_ATL1UP_PLF,2023,903.049,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,TOTAL,TOTAL,2021,2935.805,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,TOTAL,TOTAL,2022,2796.074,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_W_C,TOTAL,TOTAL,2023,2656.915,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,HH_NORET,HH_0UNEMP,2021,526.915,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,HH_NORET,HH_0UNEMP,2022,512.603,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,HH_NORET,HH_0UNEMP,2023,510.373,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,HH_NORET,HH_ALT1UP,2021,122.014,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,HH_NORET,HH_ALT1UP,2022,99.87,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,HH_NORET,HH_ALT1UP,2023,87.47,,,,,,,,,
IT1:723_1036(1.0),A,HH_ATLPY15-64,IT,HH_1EMP,HH,COUPF_WH_C,HH_NORET,HH_ATL1UP_PLF,2021,285.633,,,,,,,,,
